category,configuration_variable,config_key,type,symbol,description,units,current_declaration_default,default_expression,formal_model_comparator,range,provenance_source,provenance_category,implementation_status,notes,source_file,source_line,reference_count
A2. Development in the nest,cfg_OsmiaPupaDevelTotalDD,OSMIA_PUPADEVELDD,CfgFloat,DD<sub>pup</sub>,Number of degree days (above the developmental threshold) needed for pupa to develop into cocooned adult,degree day,555.907,555.907,272.3,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,74,2
A2. Development in the nest,cfg_OsmiaPupaDevelThreshold,OSMIA_PUPADEVELTHRESHOLD,CfgFloat,"T<sub>0,pup</sub>",Temperature developmental threshold for pupa development,°C,2.463,2.463,13.2,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,76,2
A3. Overwintering,cfg_OsmiaInCocoonOverwinteringTempThreshold,OSMIA_INCOCOONOVERWINTERINGTEMPTHRESHOLD,CfgFloat,T<sub>ow</sub>,Base temperature above which warmth accumulates during overwintering,°C,7.758,7.758,0.0,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value and is not a chilling threshold.,Osmia.cpp,78,4
A3. Overwintering,cfg_OsmiaInCocoonPrewinteringTempThreshold,OSMIA_INCOCOONPREWINTERINGTEMPTHRESHOLD,CfgFloat,T<sub>pre</sub>,Base temperature above which pre-wintering degree-days accumulate,°C,15.0,15.0,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,These degree-days drive the later mortality equation. The end of pre-wintering is detected by a separate hard-coded autumn temperature rule.,Osmia.cpp,82,1
A3. Overwintering,cfg_OsmiaOverwinterDegreeDaysInitialSimu,OSMIA_OVERWINTER_DEGREE_DAYS_INITIAL_SIMU,CfgFloat,—,Overwintering day-degrees given to each cocoon of the starting cohort,degree-days,320,320,=,—,Not documented in the source,Undocumented,Active,Applies only to the starting cohort. Cocoons created during a run must receive 0.,Osmia_Population_Manager.cpp,192,1
A4. Emergence from the nest,cfg_OsmiaEmergenceProbArgs,OSMIA_EMERGENCEPROBARGS,CfgStr,—,Parameters for the emergence-delay distribution,relative weights (unnormalised counts),8 7 9 24 20 8 6 5 5 4 4,"""8 7 9 24 20 8 6 5 5 4 4""",=,delay of 0–10 days,"Based on field data, see Ziółkowska et al. (2023)",Field data,Active,—,Osmia.cpp,164,2
A4. Emergence from the nest,cfg_OsmiaEmergenceProbType,OSMIA_EMERGENCEPROBTYPE,CfgStr,—,Type of the emergence distribution,— (distribution family),DISCRETE,"""DISCRETE""",=,—,"Based on field data, see Ziółkowska et al. (2023)",Field data,Active,—,Osmia.cpp,162,1
A4. Emergence from the nest,cfg_OsmiaInCocoonEmergCountConst,OSMIA_INCOCOONEMERGENCECOUNTERCONST,CfgFloat,a<sub>em</sub>,Constant term in emergence counter (counting days left to emergence) equation for cocooned adult,days,13.3685,13.3685,39.4819,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,99,2
A4. Emergence from the nest,cfg_OsmiaInCocoonEmergCountSlope,OSMIA_INCOCOONEMERGENCECOUNTERSLOPE,CfgFloat,b<sub>em</sub>,Coefficient in emergence counter (counting days left to emergence) equation for cocooned adult,days per degree-day,-0.01613,-0.01613,-0.0147,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,101,2
A4. Emergence from the nest,cfg_OsmiaInCocoonEmergenceTempThreshold,OSMIA_INCOCOONEMERGENCETEMPTHRESHOLD,CfgFloat,T<sub>em</sub>,Temperature threshold for counting days left to emergence,°C,10.085,10.085,12.0,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,80,2
A5. Osmia mass,cfg_OsmiaCocoonMassFromProvMass,OSMIAS_COCOONTOPROVISIONING,CfgFloat,k<sub>cp</sub>,Scaling parameter to recalculate cocoon mass from provision mass,mg cocoon per mg provision (dimensionless),1.0 / 3.247 (= 0.30797659),1.0 / 3.247,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Passed to Osmia_Female::SetProvisionToCocoonMass, not to SetCocoonToProvisionMass, despite the apparent name match. The member and configuration names use opposite ""X to Y"" conventions; check the call site in Osmia_Population_Manager::Init before changing either.",Osmia_Population_Manager.cpp,130,2
A5. Osmia mass,cfg_OsmiaProvMassFromCocoonMass,OSMIAS_PROVISIONINGTOCOCOON,CfgFloat,k<sub>pc</sub>,Scaling parameter to recalculate provision mass from target cocoon mass,mg provision per mg cocoon (dimensionless),3.247,3.247,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,—,Osmia_Population_Manager.cpp,132,3
A5. Osmia mass,cfg_OsmiaAdultMassCategoryStep,OSMIA_ADULTMASSCLASSSTEP,CfgFloat,ΔM,The size class step for female mass,mg,10.0,10.0,=,—,No empirical source stated,Assumed,Active,—,Osmia_Population_Manager.cpp,110,3
A5. Osmia mass,cfg_OsmiaFemaleMassFromProvMassConst,OSMIA_FEMALEMASSFROMPROVMASSCONST,CfgFloat,a<sub>m</sub>,Constant term in equation for calculation of adult mass from mass of provisions,mg,0.0,0.0,4.00,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,132,4
A5. Osmia mass,cfg_OsmiaFemaleMassFromProvMassSlope,OSMIA_FEMALEMASSFROMPROVMASSSLOPE,CfgFloat,b<sub>m</sub>,Coefficient in equation for calculation of adult mass from mass of provisions,mg body mass per mg provision (dimensionless),0.2324,0.2324,0.25,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,134,4
A5. Osmia mass,cfg_OsmiaFemaleMassMax,OSMIA_MAXFEMALEMASS,CfgFloat,M<sub>max</sub>,Maximum possible mass for an adult female,mg,200.0,200.0,=,—,No empirical source stated,Assumed,Active,Also sets the number of mass classes in the maternal investment lookup tables. The implementation clamps the derived class index to the final lookup-table row.,Osmia.cpp,126,5
A5. Osmia mass,cfg_OsmiaMaleMassMax,OSMIA_MAXMALEMASS,CfgFloat,"M<sub>max,m</sub>",Maximum possible mass for an adult male,mg,105.0,105.0,=,—,"Based on field data, see Ziółkowska et al. (2023)",Field data,Active,—,Osmia.cpp,122,1
A5. Osmia mass,cfg_OsmiaFemaleMassMin,OSMIA_MINFEMALEMASS,CfgFloat,M<sub>min</sub>,Minimum possible mass for an adult female,mg,25.0,25.0,=,—,"Based on field data, see Ziółkowska et al. (2023)",Field data,Active,"`Osmia_Female::Init` terminates the simulation if a female is created outside [`cfg_OsmiaFemaleMassMin`, `cfg_OsmiaFemaleMassMax`].",Osmia.cpp,124,5
A5. Osmia mass,cfg_OsmiaMaleMassMin,OSMIA_MINMALEMASS,CfgFloat,"M<sub>min,m</sub>",Minimum possible mass for an adult male,mg,88,88,=,—,"Based on field data, see Ziółkowska et al. (2023)",Field data,No effect,Declared but not read by the current implementation; changing it has no behavioural effect.,Osmia.cpp,120,0
A6. Movement,cfg_OsmiaDispersalMovementProbArgs,OSMIA_DISPMOVPROBARGS,CfgStr,—,Parameters for dispersal movement distribution,dimensionless BETA shape parameters (alpha beta),10 5,"""10 5""",=,—,No empirical source stated,Assumed,Active,—,Osmia.cpp,150,1
A6. Movement,cfg_OsmiaDispersalMovementProbType,OSMIA_DISPMOVPROBTYPE,CfgStr,—,Type of dispersal movement distribution,— (distribution family),BETA,"""BETA""",=,—,No empirical source stated,Assumed,Active,—,Osmia.cpp,148,1
A6. Movement,cfg_OsmiaGenerallMovementProbArgs,OSMIA_GENMOVPROBARGS,CfgStr,—,Parameters for general movement distribution,dimensionless BETA shape parameters (alpha beta),10 5,"""10 5""",=,—,No empirical source stated,Assumed,Active,—,Osmia.cpp,154,1
A6. Movement,cfg_OsmiaGeneralMovementProbType,OSMIA_GENMOVPROBTYPE,CfgStr,—,Type of general movement distribution,— (distribution family),BETA,"""BETA""",=,—,No empirical source stated,Assumed,Active,—,Osmia.cpp,152,1
A6. Movement,cfg_OsmiaMaxHomingDistance,OSMIA_MAXHOMINGDISTANCE,CfgInt,R<sub>90</sub>,Maximum distance used to scale dispersal,m,1430,1430,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"The source comment records that reducing this to 715 produced negative values in a pollen mask. The active foraging routine does not use that mask, so the direct behavioural effect documented here is on dispersal.",Osmia.cpp,145,3
A6. Movement,cfg_OsmiaMaxPrecipForFlying,OSMIA_MAX_PRECIP_FOR_FLYING,CfgFloat,P<sub>fly</sub>,Maximum hourly precipitation at which an adult female will fly,mm h<sup>−1</sup>,0.1,0.1,=,—,Not documented in the source,Assumed,Active,—,Osmia_Population_Manager.cpp,190,1
A6. Movement,cfg_OsmiaMaxWindSpeedForFlying,OSMIA_MAX_WIND_SPEED_FOR_FLYING,CfgFloat,W<sub>fly</sub>,Maximum hourly wind speed at which an adult female will fly,m s<sup>−1</sup>,8,8,=,—,Not documented in the source,Undocumented,Active,—,Osmia_Population_Manager.cpp,188,1
A6. Movement,cfg_OsmiaMinTempForFlying,OSMIA_MIN_TEMP_FOR_FLYING,CfgFloat,T<sub>fly</sub>,Minimum hourly temperature at which an adult female will fly,°C,6,6,=,—,Not documented in the source,Undocumented,Active,Sensitivity has not been quantified.,Osmia_Population_Manager.cpp,186,1
A6. Movement,cfg_OsmiaTypicalHomingDistance,OSMIA_TYPICALHOMINGDISTANCE,CfgInt,R<sub>50</sub>,Maximum distance for short-range movements,m,660,660,=,—,Ziółkowska et al. (2023),Literature,Active,—,Osmia.cpp,143,5
A7. Nesting,cfg_OsmiaFemaleFindNestAttemptNo,OSMIA_FEMALEFINDNESTATTEMPTNO,CfgInt,n<sub>try</sub>,Number of nest finding attempts,count of search rings,20,20,=,—,No empirical source stated,Assumed,Active,Source annotation: medium sensitivity; not systematically tested.,Osmia_Population_Manager.cpp,150,1
A7. Nesting,cfg_OsmiaMaxNoEggsInNest,OSMIA_MAXNOEGGSINNEST,CfgInt,N<sub>max</sub>,Maximum number of eggs planned for a nest,count of cells,30,30,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,—,Osmia_Population_Manager.cpp,118,1
A7. Nesting,cfg_OsmiaMinNoEggsInNest,OSMIA_MINNOEGGSINNEST,CfgInt,N<sub>min</sub>,Minimum number of eggs planned for a nest,count of cells,3,3,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,—,Osmia_Population_Manager.cpp,116,1
A7. Nesting,cfg_OsmiaFemalePrenestingDuration,OSMIA_PRENESTINGDURATION,CfgInt,D<sub>pre</sub>,Duration of prenesting,day,2,2,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,—,Osmia.cpp,128,1
A7. Nesting,cfg_TotalNestsPossible,OSMIA_TOTALNESTSPOSSIBLE,CfgInt,N<sub>nests</sub>,Maximum number of nests possible for a bee,count of nests,4,4,5,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value; the fitted value of 3.50 is rounded to the integer 4.,Osmia_Population_Manager.cpp,140,1
A8. Reproduction,cfg_OsmiaTotalCocoonMassLoss,OSMIATOTALCOCOONMASSLOSS,CfgFloat,ΔC<sub>nest</sub>,The assumed decline in female cocoon mass from the first to the last female cell of a nest,mg (cocoon mass),15.0,15.0,=,10.0 - 20.0 given the +/- OSMIATOTALCOCOONMASSLOSSRANGE spread applied per nest,No empirical source stated,Assumed,Active,Sensitivity has not been established.,Osmia.h,62,1
A8. Reproduction,cfg_OsmiaTotalCocoonMassLossRange,OSMIATOTALCOCOONMASSLOSSRANGE,CfgFloat,δC<sub>nest</sub>,Half-width of the uniform variation applied around `cfg_OsmiaTotalCocoonMassLoss` per nest,mg (cocoon mass),5.0,5.0,=,0.0 (no between-nest variation) to `cfg_OsmiaTotalCocoonMassLoss`,No empirical source stated,Assumed,Active,"Setting this larger than `cfg_OsmiaTotalCocoonMassLoss` allows a negative total mass loss, i.e. daughters increasing in mass through the nest, which reverses the modelled investment pattern.",Osmia.h,64,1
A8. Reproduction,cfg_OsmiaEggsPerNestProbArgs,OSMIA_EGGSPERNESTPROBARGS,CfgStr,—,Parameters for the probability distribution for number of eggs in the first nest,dimensionless BETA shape parameters (alpha beta),2.277 5.940,"""2.277 5.940""",1.8 5.0,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. The current declaration differs from the Formal Model comparator.,Osmia.cpp,158,1
A8. Reproduction,cfg_OsmiaEggsPerNestProbType,OSMIA_EGGSPERNESTPROBYPE,CfgStr,—,Type of the probability distribution for number of eggs in the first nest,— (distribution family),BETA,"""BETA""",=,—,No empirical source stated,Assumed,Active,—,Osmia.cpp,156,1
A8. Reproduction,Cfg_OsmiaFemaleCocoonMassVsMotherAgeLogistic,OSMIA_FEMALECOCOONMASSVSMOTHERSAGELOGISTIC,CfgArray_Double,—,Parameters for the relationship between maternal age and female offspring cocoon mass,x0 in days; min and max in mg cocoon mass; k per day,18.04087868 104.19820591 133.74150303 -0.17686981,"vector<double> { 18.04087868, 104.19820591, 133.74150303, -0.17686981}",=,—,Ziółkowska et al. (2023),Literature,Active,—,Osmia_Population_Manager.cpp,122,1
A8. Reproduction,Cfg_OsmiaFemaleCocoonMassVsMotherMassLinear,OSMIA_FEMALECOCOONMASSVSMOTHERSMASSLINEAR,CfgArray_Double,—,Parameters for the linear relationship between maternal mass and the first female cocoon mass,a in mg cocoon per mg mother; b in mg,0.3 65.1,"vector<double> { 0.3, 65.1 }",=,—,Calibration provenance document (companion study),Calibrated,Active,—,Osmia_Population_Manager.cpp,126,1
A8. Reproduction,cfg_Osmia_LifetimeCocoonMassLoss,OSMIA_LIFETIMECOCOONMASSLOSS,CfgFloat,ΔC<sub>life</sub>,Total difference in cocoon mass from first to last cocoon,mg cocoon mass,30.0,30.0,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Distinct from `cfg_OsmiaTotalCocoonMassLoss` (default 15.0), which is the within-nest decline. This one is used only to place the **first** daughter half of it above the mother's average, when the cocoon mass curves are built. The two are easy to confuse.",Osmia_Population_Manager.cpp,128,1
A8. Reproduction,cfg_OsmiaSexRatioVsMotherAgeLogistic,OSMIA_SEXRATIOVSMOTHERSAGELOGISTIC,CfgArray_Double,—,Parameters for the relationship between maternal age and offspring sex ratio,x0 in days; min and max as proportion female; k per day,14.90257909 0.09141286 0.6031729 -0.39213001,"vector<double> { 14.90257909, 0.09141286, 0.6031729, -0.39213001 }",=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,The lookup-table construction replaces the stored young-age maximum with the mass-dependent value from `cfg_OsmiaSexRatioVsMotherMassLinear`. Source annotation: high sensitivity; not systematically tested.,Osmia_Population_Manager.cpp,120,1
A8. Reproduction,cfg_OsmiaSexRatioVsMotherMassLinear,OSMIA_SEXRATIOVSMOTHERSMASSLINEAR,CfgArray_Double,—,Parameters for the relationship between maternal mass and the young-age sex ratio,a in proportion female per mg; b dimensionless,0.0055 -0.1025,"vector<double> { 0.0055, -0.1025 }",=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Not clamped to [0,1]: masses above about 200 mg give a young-age proportion female above 1.",Osmia_Population_Manager.cpp,124,1
A9. Provisioning,cfg_OsmiaForageMaskStep,OSMIA_FORAGE_MASK_STEP,CfgInt,—,The incremental for searching resource mask,m,50,50,=,—,Not documented in the source,Technical,Active,—,Osmia.cpp,180,2
A9. Provisioning,cfg_MaleMinTargetProvisionMass,OSMIA_MALEMINTARGETPROVISIONMASS,CfgFloat,—,Minimum amount of pollen needed to provision a male cell,mg,10.0,10.0,=,—,"Based on field data, see Ziółkowska et al. (2023)",Field data,No effect,"Declared but never read. Osmia_Base::SetParameterValues derives the minimum male target as 95% of the minimum female target instead, so this configuration variable has no effect. Remove it or wire it up.",Osmia_Population_Manager.cpp,134,0
A9. Provisioning,cfg_MaximumCellConstructionTime,OSMIA_MAXCELLCONSTRUCTTIME,CfgInt,"D<sub>cell,max</sub>",Maximum time allowed to construct a cell,day,4,4,=,—,No empirical source stated,Assumed,Active,Source annotation: medium sensitivity; not systematically tested.,Osmia_Population_Manager.cpp,138,1
A9. Provisioning,cfg_OsmiaMaxPollen,OSMIA_MAXPOLLEN,CfgFloat,P<sub>max</sub>,Cap on the amount of pollen provision possible to bring back to the nest (per foraging hour),mg,2.5,2.5,=,—,Calibration provenance document (companion study),Calibrated,Active,Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,168,3
A9. Provisioning,cfg_OsmiaMaxHalfWidthForageMask,OSMIA_MAX_HALF_WIDTH_FORAGE_MASK,CfgInt,—,Half width of the maximum square that a female can search for pollen,m,600,600,=,—,Not documented in the source,Technical,Active,—,Osmia.cpp,178,1
A9. Provisioning,cfg_MinimumCellConstructionTime,OSMIA_MINCELLCONSTRUCTTIME,CfgInt,"D<sub>cell,min</sub>",Minimum time to construct a cell,day,1,1,=,—,No empirical source stated,Assumed,No effect,"Declared but never read, so changing it has no effect.",Osmia_Population_Manager.cpp,136,1
A9. Provisioning,cfg_OsmiaSugarPerDay,OSMIA_NECTAR_PER_DAY,CfgFloat,S<sub>day</sub>,Sugar an adult female consumes per day for her own maintenance,mg sugar per female per day,20,20,=,—,Not documented in the source,Undocumented,Active,Not an energy budget: a female who cannot obtain this sugar suffers no consequence. It is used only to scale nectar-borne pesticide intake.,Osmia.cpp,170,3
A9. Provisioning,cfg_OsmiaPollenGiveUpReturn,OSMIA_POLLENGIVEUPRETURN,CfgFloat,θ<sub>abs</sub>,Minimum pollen-score return accepted by the foraging routine,landscape pollen score (dimensionless),0.75,0.75,=,0–50,No empirical source stated,Assumed,Active,Compared before conversion from pollen score to mass.,Osmia_Population_Manager.cpp,154,1
A9. Provisioning,cfg_OsmiaPollenGiveUpThreshold,OSMIA_POLLENGIVEUPTHRESHOLD,CfgFloat,θ<sub>rel</sub>,Change in proportion pollen before a new patch is selected,proportion (0-1),0.75,0.75,=,0 - 1.0,No empirical source stated,Assumed,Active,—,Osmia_Population_Manager.cpp,152,1
A9. Provisioning,cfg_PollenScoreToMg,OSMIA_POLLENSCORETOMG,CfgFloat,k<sub>pol</sub>,Conversion from pollen availability score to pollen collected per bee per foraging hour,mg pollen per unit pollen score per hour,0.8,0.8,=,—,Calibration provenance document (companion study),Calibrated,Active,Population-level sensitivity has not yet been quantified.,Osmia_Population_Manager.cpp,158,2
A10. Mortality,cfg_OsmiaEggDailyMORT,OSMIA_EGGDAILYMORT,CfgFloat,μ<sub>egg</sub>,Daily unspecified mortality for eggs,probability per individual per day (0-1),0.0014,0.0014,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,106,1
A10. Mortality,cfg_OsmiaFemaleBckMort,OSMIA_FEMALEBACKMORT,CfgFloat,μ<sub>ad</sub>,Background mortality probability when `st_Develop` is evaluated,probability per trial (0–1),0.02,0.02,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,It is not tested on every calendar day because provisioning uses a different state. Population-level sensitivity has not yet been quantified.,Osmia_Population_Manager.cpp,114,1
A10. Mortality,cfg_OsmiaInCocoonWinterMortConst,OSMIA_INCOCOONWINTERMORTCONST,CfgFloat,a<sub>wm</sub>,Constant term in winter mortality equation for cocooned adult,"percent (compared against a uniform draw on 0-99, not against 0-1)",-4.63,-4.63,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Percentage scale, not probability. Supplying 0-1 coefficients removes overwintering mortality entirely and silently.",Osmia.cpp,114,1
A10. Mortality,cfg_OsmiaInCocoonWinterMortSlope,OSMIA_INCOCOONWINTERMORTSLOPE,CfgFloat,b<sub>wm</sub>,Coefficient in winter mortality equation for cocooned adult,percent mortality per degree-day,0.05,0.05,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,116,1
A10. Mortality,cfg_OsmiaLarvaDailyMORT,OSMIA_LARVADAILYMORT,CfgFloat,μ<sub>lar</sub>,Daily unspecified mortality for larvae,probability per individual per day (0-1),0.0014,0.0014,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,Source annotation: high sensitivity; not systematically tested.,Osmia.cpp,108,1
A10. Mortality,cfg_OsmiaPrepupaDailyMORT,OSMIA_PREPUPADAILYMORT,CfgFloat,μ<sub>pre</sub>,Daily unspecified mortality for prepupae,probability per individual per day (0-1),0.003,0.003,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,—,Osmia.cpp,110,1
A10. Mortality,cfg_OsmiaPupaDailyMORT,OSMIA_PUPADAILYMORT,CfgFloat,μ<sub>pup</sub>,Daily unspecified mortality for pupae,probability per individual per day (0-1),0.003,0.003,=,—,Ziółkowska et al. (2023),Literature,Active,—,Osmia.cpp,112,1
A11. Parasitism,cfg_OsmiaBombylidProb,OSMIA_BOMBYLIDPROB,CfgFloat,p<sub>bom</sub>,Probability that a parasitoid is Bombylid,probability (0-1),0.5,0.5,=,—,No empirical source stated,Assumed,Active,—,Osmia_Population_Manager.cpp,144,1
A11. Parasitism,cfg_OsmiaParasitismProbToTimeCellOpen,OSMIA_PARASITISMPROBTOTIMECELLOPEN,CfgFloat,p<sub>par</sub>,Conversion rate from time the cell is open to open cell parasitism probability,probability per hour open,0.0075,0.0075,=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Source annotation: high sensitivity; not systematically tested. Osmia_Female::CalcParaistised multiplies by 24 and by the days open without bounding the result at 1, so at this default a cell open more than about 5.5 days is certainly parasitised.",Osmia_Population_Manager.cpp,146,1
A11. Parasitism,cfg_OsmiaParasDailyMort,OSMIA_PARAS_DAILYMORT,CfgArray_Double,—,"Monthly multipliers for each `TTypeOfOsmiaParasitoids` value, with 12 entries per type",daily multiplier applied to the sub-population (**not** a mortality probability),1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,"vector<double> { 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0 }",=,—,No empirical source stated,Assumed,Conditional,"The name says mortality, but `OsmiaParasitoidSubPopulation::DailyMortality` uses the value as `m_NoParasitoids *= value`. A value of 1.0 means no deaths and a value near 0 means near-total daily mortality. The month index is not set in the current mechanistic implementation.",Osmia_Population_Manager.cpp,65,1
A11. Parasitism,cfg_OsmiaParasDispersal,OSMIA_PARAS_DISPERSAL,CfgArray_Double,—,Dispersal rates for TTypeOfOsmiaParasitoids parasitoids. Each entry is the dispersal rate for the parasitoid type matching the order in the enum class TTypeOfOsmiaParasitoids,proportion of the cell population per day (0-1),0.001 0.0001,"vector<double> { 0.001, 0.0001 }",=,—,Not documented in the source,Undocumented,Conditional,—,Osmia_Population_Manager.cpp,106,1
A11. Parasitism,cfg_OsmiaParasStartHighLow,OSMIA_PARAS_STARTHIGHLOW,CfgArray_Double,—,Starting numbers for TTypeOfOsmiaParasitoids parasitoids. Each entry is the max and min starting numbers per sub-population for the parasitoid type matching the order in the enum class TTypeOfOsmiaParasitoids,"individuals per grid cell (max, min per type)",2.0 1.0 2.0 1.0,"vector<double> { 2.0, 1.0, 2.0, 1.0}",=,—,Not documented in the source,Undocumented,Conditional,—,Osmia_Population_Manager.cpp,108,3
